clean_text,translated_text,subjektivitas,polaritas,sentimen
terima kasih yaaa sudah mau nunggu 🥰🥰🥰,thank you for waiting 🥰🥰🥰,0.0,0.0,netral
selama pakai ini merasa nyaman,while wearing this i feel comfortable,0.8,0.4,positif
bagus,good,0.6000000000000001,0.7,positif
hod,hod,0.0,0.0,netral
ada yang sama gak??? setiap pesan makanan selalu stuck di menit 14 . udah di update dll selalu stuck di menit 14 .,"is there something the same or not??? every time you order food, it always gets stuck at 14 minutes. i've updated it etc. it's always stuck at 14 minutes.",0.125,0.0,netral
"kecewa, nunggu makanan 1 jam gara gara driver cancel, akhirnya yang anter malah yang jual makanan, tau gitu beli sendiri, percuma make gojek","disappointed, waited 1 hour for food because the driver canceled, in the end the person delivering the food was the one selling the food, you know what, buy it yourself, it's no use using gojek",0.75,-0.75,negatif
oke,limit,0.0,0.0,netral
ok banget,very okay,0.65,0.65,positif
nice,nice,1.0,0.6,positif
ok,ok,0.5,0.5,positif
mantap membantu sekali,really helpful,0.2,0.2,positif
bisa gak sih iklan nya dikurangin gw tuh udh instal dan sering make ya! nge ganggu bgt gw lagi belajar ada iklan ini jadi suka beralih ke aplikasinya!! ganggu bgt sumpah!! minimal kalo udh di instal ya kurangin iklan nya!!!!!!!!!!! makan tuh bintang 1 rese banget abisnya,"is it possible to reduce the adverts? i've installed it and use it often! it's really annoying, i'm learning about these ads so i like switching to the app!! it's so annoying i swear!! at least if it's installed, reduce the ads!!!!!!!!!!! it's really delicious to eat, 1 star",0.8399999999999999,-0.4,negatif
saya udah pake gojek berkali2 puluhan bahkan ratusan tp knapa pyleter saya belum ke buka.. mending pindah sebelah,i've used gojek dozens or even hundreds of times but why hasn't my pyleter opened... it's better to move next door,0.25,0.25,positif
oke,limit,0.0,0.0,netral
harga nya mahal 👎👎👎,the price is expensive 👎👎👎,0.7,-0.5,negatif
bagai mana cara nya akun sy lupa pin,how do i forget my account pin?,0.0,0.0,netral
"bagus, mantap kali...","good, great time...",0.675,0.75,positif
good,good,0.6000000000000001,0.7,positif
ok gojek,ok gojek,0.5,0.5,positif
sofar so good,sofar so good,0.6000000000000001,0.7,positif
"tolong di perbaiki keluh kesah pelanggan... jangan hanya karna uang 1k 2k jd masalah buat pelanggan... driver jam sibuk jangan jauh jauh dapetnya, arah tujuan d perhatikan cepet cepet apa slow","please fix customer complaints... don't just pay attention because 1k or 2k is a problem for customers... rush hour drivers don't go too far to get it, pay attention to the direction of your destination, whether it's fast or slow",0.6666666666666666,0.0,netral
gojek the best,gojek the best,0.3,1.0,positif
gara gara driver di ksh ongkos food 5000 per order... jd banyak driver yg jd pengemis tip ke customer...,because of the drivers in ksh food costs 5000 per order... so many drivers become tip beggars to customers...,0.5,0.5,positif
"ga bs bayar gopaylater, tagihannya ga muncul mana waktunya mepet, nyebelin","can't pay gopaylater, the bill doesn't appear when time is tight, it's annoying",0.5928571428571429,-0.4892857142857143,negatif
goodh jobs,goodh jobs,0.0,0.0,netral
masih ok and nyaman,still ok and comfortable,0.65,0.45,positif
